timestamp,raw_x,raw_y,raw_z,smoothed_x,smoothed_y,smoothed_z,valid
1783695719.8892074,0.194574,-0.024281,-0.540861,0.194574,-0.024281,-0.540861,1
1783695720.0023959,0.186784,-0.025067,-0.543179,0.192627,-0.024477,-0.541441,1
1783695720.0715287,0.188880,-0.025169,-0.540208,0.191690,-0.024650,-0.541133,1
1783695720.1395411,0.195310,-0.028614,-0.538343,0.192595,-0.025641,-0.540435,1
1783695720.2185276,0.196933,-0.032737,-0.534810,0.193679,-0.027415,-0.539029,1
1783695720.292193,0.197079,-0.037122,-0.536638,0.194529,-0.029842,-0.538431,1
1783695720.3617346,0.202820,-0.033697,-0.535516,0.196602,-0.030806,-0.537702,1
1783695720.4324203,0.197608,-0.034383,-0.538823,0.196853,-0.031700,-0.537983,1
1783695720.5018702,0.198948,-0.035827,-0.538527,0.197377,-0.032732,-0.538119,1
1783695720.5682821,0.202820,-0.040043,-0.535079,0.198738,-0.034560,-0.537359,1
1783695720.6466398,0.204506,-0.044735,-0.534011,0.200180,-0.037104,-0.536522,1
1783695720.7144084,0.199713,-0.039835,-0.536855,0.200063,-0.037786,-0.536605,1
1783695720.780399,0.203290,-0.040547,-0.535537,0.200870,-0.038477,-0.536338,1
1783695720.848258,0.203290,-0.040547,-0.535537,0.201475,-0.038994,-0.536138,1
1783695720.91561,0.203516,-0.044311,-0.533370,0.201985,-0.040323,-0.535446,1
1783695720.9859736,0.203290,-0.040800,-0.535518,0.202311,-0.040443,-0.535464,1
1783695721.0476081,0.198344,-0.043448,-0.534494,0.201320,-0.041194,-0.535221,1
1783695721.1167529,0.222630,-0.057974,-0.515058,0.206647,-0.045389,-0.530181,1
1783695721.1781962,0.232676,-0.067330,-0.508367,0.213154,-0.050874,-0.524727,1
1783695721.2466424,0.249371,-0.019549,-0.527618,0.222209,-0.043043,-0.525450,1
1783695721.31725,0.265901,0.002655,-0.503731,0.233132,-0.031619,-0.520020,1
1783695721.3855307,0.250030,0.048135,-0.521311,0.237356,-0.011680,-0.520343,1
1783695721.5197253,0.251655,0.060799,-0.536427,0.240931,0.006440,-0.524364,1
1783695721.5925083,0.253954,0.070360,-0.545407,0.244187,0.022420,-0.529625,1
1783695721.658028,0.264656,0.083470,-0.517968,0.249304,0.037682,-0.526710,1
1783695721.7263618,0.267037,0.096316,-0.512444,0.253737,0.052341,-0.523144,1
1783695721.7931123,0.266506,0.099556,-0.511442,0.256929,0.064145,-0.520218,1
1783695721.8586082,0.260859,0.121072,-0.512150,0.257912,0.078377,-0.518201,1
1783695721.9206374,0.262442,0.117970,-0.511504,0.259044,0.088275,-0.516527,1
1783695721.9871988,0.266189,0.110273,-0.509964,0.260830,0.093774,-0.514886,1
1783695722.0563648,0.269632,0.122584,-0.507467,0.263031,0.100977,-0.513031,1
1783695722.1228569,0.266130,0.116871,-0.507014,0.263805,0.104951,-0.511527,1
1783695722.1914032,0.268803,0.113959,-0.506510,0.265055,0.107203,-0.510273,1
1783695722.256481,0.267207,0.120458,-0.506149,0.265593,0.110517,-0.509242,1
1783695722.3202083,0.263596,0.116262,-0.510605,0.265094,0.111953,-0.509583,1
1783695722.3866494,0.262125,0.110158,-0.508617,0.264351,0.111504,-0.509341,1
1783695722.4550815,0.261827,0.115076,-0.508700,0.263720,0.112397,-0.509181,1
1783695722.5180404,0.258149,0.118486,-0.515135,0.262327,0.113919,-0.510670,1
1783695722.5861309,0.260595,0.117837,-0.514864,0.261894,0.114899,-0.511718,1
1783695722.6519809,0.281585,0.121981,-0.476840,0.266817,0.116669,-0.502999,1
1783695722.7214923,0.277964,0.119949,-0.458090,0.269604,0.117489,-0.491771,1
1783695722.792166,0.266148,0.120883,-0.456075,0.268740,0.118338,-0.482847,1
1783695722.8598084,0.263694,0.109929,-0.431976,0.267478,0.116235,-0.470129,1
1783695722.9246013,0.257444,0.090593,-0.422131,0.264970,0.109825,-0.458130,1
1783695722.9920309,0.252532,0.086442,-0.417368,0.261860,0.103979,-0.447939,1
1783695723.05561,0.245719,0.088960,-0.415679,0.257825,0.100224,-0.439874,1
1783695723.1227467,0.242034,0.082266,-0.401630,0.253877,0.095735,-0.430313,1
1783695723.1878061,0.237335,0.095073,-0.393282,0.249742,0.095569,-0.421055,1
1783695723.2541323,0.241282,0.084986,-0.376924,0.247627,0.092924,-0.410022,1
1783695723.3252213,0.243741,0.085276,-0.365695,0.246655,0.091012,-0.398941,1
1783695723.4005275,0.242675,0.089451,-0.366715,0.245660,0.090621,-0.390884,1
1783695723.4726346,0.242367,0.089451,-0.365846,0.244837,0.090329,-0.384625,1
1783695723.5395784,0.239712,0.091068,-0.355291,0.243556,0.090514,-0.377291,1
1783695723.6071408,0.241187,0.090952,-0.352656,0.242964,0.090623,-0.371132,1
1783695723.6743476,0.235661,0.089887,-0.329748,0.241138,0.090439,-0.360786,1
1783695723.7411888,0.236203,0.077481,-0.313784,0.239904,0.087199,-0.349036,1
1783695723.8128548,0.250217,0.071778,-0.292966,0.242482,0.083344,-0.335018,1
1783695723.8790874,0.256993,0.081881,-0.285608,0.246110,0.082978,-0.322666,1
1783695723.9449992,0.275869,0.076230,-0.255403,0.253550,0.081291,-0.305850,1
1783695724.0123281,0.291891,0.074856,-0.250410,0.263135,0.079682,-0.291990,1
1783695724.0795934,0.315138,0.072150,-0.254595,0.276136,0.077799,-0.282641,1
1783695724.1469357,0.324679,0.071599,-0.255341,0.288272,0.076249,-0.275816,1
1783695724.2093844,0.329148,0.057611,-0.253238,0.298491,0.071590,-0.270172,1
1783695724.2750778,0.336349,0.054709,-0.249009,0.307955,0.067369,-0.264881,1
1783695724.3376458,0.342531,0.056539,-0.248996,0.316599,0.064662,-0.260910,1
1783695724.4083707,0.342174,0.058368,-0.251621,0.322993,0.063088,-0.258588,1
1783695724.473731,0.338617,0.051664,-0.254248,0.326899,0.060232,-0.257503,1
1783695724.5407434,0.335115,0.053434,-0.259833,0.328953,0.058533,-0.258085,1
1783695724.6054413,0.324822,0.056944,-0.273332,0.327920,0.058135,-0.261897,1
1783695724.6687925,0.309414,0.062019,-0.286849,0.323294,0.059106,-0.268135,1
1783695724.7321012,0.293828,0.068490,-0.289547,0.315927,0.061452,-0.273488,1
1783695724.7971237,0.259600,0.081748,-0.303787,0.301845,0.066526,-0.281063,1
1783695724.8579047,0.225373,0.088816,-0.323475,0.282727,0.072099,-0.291666,1
1783695724.9247856,0.194893,0.092929,-0.338177,0.260769,0.077306,-0.303293,1
1783695724.9981604,0.150992,0.102798,-0.350514,0.233325,0.083679,-0.315099,1
1783695725.0705419,0.120419,0.092241,-0.345991,0.205098,0.085820,-0.322822,1
1783695725.1390803,0.230244,0.005146,-0.023933,0.211385,0.065651,-0.248099,1
1783695725.2612975,0.043482,0.034208,-0.313656,0.169409,0.057791,-0.264489,1
1783695725.3264592,-0.102173,-0.057934,-0.039318,0.101513,0.028859,-0.208196,1
1783695725.3914099,-0.100369,-0.072180,-0.024715,0.051043,0.003599,-0.162326,1
1783695725.452843,0.001906,-0.020445,-0.259075,0.038759,-0.002412,-0.186513,1
1783695725.516604,-0.012103,-0.032147,-0.244125,0.026043,-0.009845,-0.200916,1
1783695725.5870192,-0.016054,-0.042702,-0.230860,0.015519,-0.018060,-0.208402,1
1783695725.6585228,-0.023292,-0.050561,-0.234134,0.005816,-0.026185,-0.214835,1
1783695725.724142,-0.023433,-0.062734,-0.231065,-0.001496,-0.035322,-0.218893,1
1783695725.791302,-0.025466,-0.057843,-0.235392,-0.007489,-0.040952,-0.223017,1
1783695725.8579142,-0.030089,-0.064472,-0.235647,-0.013139,-0.046832,-0.226175,1
